| # | Product Name                  | Category    | Price   | Description                                                                                                                                                                                                                                                                                                                                 | Image URL                                                                                                                                                                                                                                                                                                                                  |
| - | ----------------------------- | ----------- | ------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| 1 | **Lunar Ceramic Vessel Pot**  | Home Decor  | ₹4,999  | A studio shot of a minimalist matte ceramic vase in a soft indigo hue, positioned against a light grey background with sharp architectural shadows. The lighting is clean and crisp, highlighting the smooth texture and elegant curvature of the product. The scene is calm and contemporary, adhering to a high-end light-mode aesthetic. | [Image](https://lh3.googleusercontent.com/aida-public/AB6AXuDoo73vj4we4urZpMDWes05Q8obZxLd20MId7X4Dk2C-OGF6V-sas-Ri5JUe3B7eW2rUW-nbzalpMdhKsfEaRgBwpeVpAZlc1-O1vOixb4v27qgROEAoj4Yae6swLFIBG_Jykf2j4_UbJ2AiNL91dRXOGMnlNNtO_kGQW3XvbS9XocFFoyV1qjj6CJBKFD86f_HLrjqEI3Ly9wSKSmtq97tx8dy7GYL-hiMzEn78RvMgYpCrGaMBf01WTpLED6BroeSQRlE3xSffQo) |
| 2 | **Aura ANC Headphones**       | Electronics | ₹24,999 | Close-up of premium over-ear headphones with a satin silver finish and soft leather ear cushions, floating in a clean white digital environment. A subtle indigo glow emanates from the internal drivers. The style is modern, tech-focused, and highly polished, emphasizing clarity and craftsmanship in a light-mode layout.             | [Image](https://lh3.googleusercontent.com/aida-public/AB6AXuCrfvdwrEHsHr6reAssEI6llSFLSJB9r8aHSpSO7B0qTOVMhXBKwdG6K7ZdCCU0Tm-nLs0hCIVmB0WPHEmbZ05ZRWBdy1w1gt5t8lxne6pZ0AhIpg0A-jBWb1y6KIcazRTSfSSC9BxqDKDL7J9E7dcyqGLCMWzwsxvcRW6tAGz594X8POgWJvdAzohnVYNuxOdgM8LoGA6MlOPqhg2zhKaxw-mc5B0z4t4rav8yxKBDxzZJbjZ0Khc-MSIrl-1a5d7wHCCAY7ntoFE) |
| 3 | **Structure Tailored Blazer** | Fashion     | ₹12,450 | A tailored unisex blazer in a deep midnight indigo shade, displayed on a minimalist white mannequin. The fabric has a subtle sheen and impeccable texture. The background is a bright, airy boutique interior with glass partitions and soft warm lighting. The image conveys a sense of quiet luxury and high-end fashion.                 | [Image](https://lh3.googleusercontent.com/aida-public/AB6AXuA_WNGDOtkj4BaFY-W5sTWWiIFTavU14GsBxgqjlLsbRgiuesLVeHp5O_h9Qng5SdWDQjIGTG93tW19mkuirBpttY4D7aXmyPKUQ32aqYdASrA75VlaI_S0f3vEK2Ikpx_KooGLKXGt5NdLhVwA8CsufJyg2R9ByY45Mp-BF8FtbTpZyMGBKfc_85endUXhNNNLAVKBuk11O5TGN1dBD0CWMKsZrdcWnsYKymHckkRkOSK3Y9SL-f7_lxYyNI91blOgk4ZYvPlUCF0) |
| 4 | **Zenith Chronograph**        | Accessories | ₹18,200 | A minimalist mechanical wristwatch with a white dial and a brushed stainless steel case. The strap is crafted from premium textured leather in a soft charcoal grey. The watch is placed on a slab of white marble, surrounded by soft afternoon light that creates gentle shadows. It represents timeless elegance and precision.          | [Image](https://lh3.googleusercontent.com/aida-public/AB6AXuCXW1bJ-9NIiRu05D1tApEDdNhZKQLVaVIHO5f-lRcSyAEG3z6GDBYkNqBAODzIaWJriFBuHqdLINJ0lsXR2U6-XwPA-IY2-UybOOsNg6GwcvDR6P-EX7abhtKk0PlnTahP5dFBjgdeE-beilKc6iDxHbFL6VWk5xqnytPXT9YZ3mV8sxP6aP70-eZGeZynfhFSQpRq3IdM9hyn9Xfj3Eo680X94EJfGBQVdxdTCUZXw4Cy3DsoawPdHHtDQIUAnmfY71irGJCLsAI) |
| 5 | **Signature Dusk Candle**     | Wellness    | ₹2,800  | A luxury scented candle in a frosted glass container, with a wooden lid. The label is minimalist and elegant. The candle is set against a backdrop of soft linen and a small branch of dried lavender. The lighting is warm and diffused, creating a serene wellness-focused atmosphere in a modern living space.                           | [Image](https://lh3.googleusercontent.com/aida-public/AB6AXuDeSt70h3aTR3SXAka4-01OOb4E1evGYiAe6vTV4_y8Oz8OKakCHfehkMfYwbmvNR-jjKqKL87HFOJ9MjbcqNfSLqoAZE_4B7eTUGlfjU8kZbgMHCztqpvuyXEmQeX5YVTkvd2Rq8s0-LTc3d6LZ9SoP8M88tK2sc26pWHxuGYobEnZiuHgRouyYLwOimweVvJctILFCcED4B72vaHve2GnKd7daUkwKkrsu7cCZBMoAfZvv5tYx8YqaLNfijJCdHqJ3DEiEX7RwcQ) |
| 6 | **Nebula Buds Pro**           | Electronics | ₹14,999 | A set of premium wireless earbuds in a compact, pebble-shaped charging case. The case has a soft-touch matte finish in a sophisticated off-white. The background is a clean geometric setup with subtle indigo lighting accents. The aesthetic is extremely modern, emphasizing a futuristic and clean design language.                     | [Image](https://lh3.googleusercontent.com/aida-public/AB6AXuDeqyFzqzl0uftTwDdUPCKPExBukFOKNEZsvnZhj5kqAqcOj4yBjNVCzB46Z0vOu_Jc1svaXlcV04Bfe9D___T4mSZu-5jOBvGnIOWfrmuDqXYHCA0Dw0ivPCCxoXzKDBW6sxpCuEUs513h8-czbuZ5lmOWca_6yhYJAE6Q-bN1UfbtvvPOILhugHSz0KOHP32xHLkIxhgnqhuWCAXAbJYsjUXTgrMKPJtub-TNJEpBs5JGzB1AqBjOQd4Ggv5b7ifQv63y4SHuzcQ) |
| 7 | **Heritage Leather Tote**     | Fashion     | ₹7,200  | An artistic high-angle shot of a premium leather tote bag in a deep forest green, sitting on a designer glass table. The bag's texture is detailed and supple. The surrounding room is filled with soft natural light and features minimalist architecture. The mood is professional, sophisticated, and high-fashion.                      | [Image](https://lh3.googleusercontent.com/aida-public/AB6AXuCvogqvbfGxvXH_jSYv78OkK8uixV7seZPBT4_zX9aISJQbs7Z2VXp1J-l-kvgpazGVmO3b8FlL9gq0Ofv581b-MHwWb1EaF6Y9ewV7ZlZiMjgpYjw5InfAcC7kvNPwBDFd9nzF_FPByKdr5631DMdw_GI7XKoczUx6q5ppKGwHO4zgwwq4Oi7UbGxRX4o4kIwmWJagDzp73d-0ej43wWRjxeiMih7g0XR86MO8Hg7FJOkK7o2-lQqlAUN0LwC8ZZRRU-JIeakt-CE) |
| 8 | **Vector Task Lamp**          | Home Decor  | ₹6,400  | A sculptural desk lamp with a slim indigo-anodized aluminum frame and a warm LED light source. It is placed on a minimalist dark wood desk next to a sleek laptop. The background is a soft-focus home office with high ceilings. The lighting creates a focused, productive, and aesthetically pleasing environment.                       | [Image](https://lh3.googleusercontent.com/aida-public/AB6AXuC0VyM59kE2iWezoXU0uHD8uVmwaDV8RaO6TUs7Ti-3Pzp2oe3zrv6ZBks8GRMrnPKnZUZ14YoaoBbvunOAzZ_XlOL4ZKuWEDjd7SBCzoW5udWDKZY-DymKHt4fEx-xp1Aoe7llZ8wi6dsGSja0QFDWoOFBdHHWteH3SPDBvbxsgvQTYtuBtaDKQ5-bkKEojQu21Bjf-c36-kh_KrkZh9FbjO_628R1N12sopOUvcxgGAFyvzQAywd3S5af051YjovvTQ0CK3aMWls) |
| 9 | **Nomad Leather Duffle**      | Accessories | ₹18,500 | Handcrafted full-grain leather travel duffle with brass hardware and detachable strap.                                                                                                                                                                                                                                                      | [Image](https://lh3.googleusercontent.com/aida-public/AB6AXuALI8Mv5601F_UXe87pXsdt74Ub0hOJFcOdvLgJ4RLDhSrEMxj6byYZzZPH7fBKVdGM1ALc0pVpHCGpRu1U9DbdMjLqMfT-v7LEwre7sGs9h9Ltfx5j_M8h8FwsYIZkscuCEI9PELaQOobwM8ePr7gHskikfTKh7zn-CwD_wW4fhS1curaPNWR5zRwQk1IXBdRTF4wi_ShbLofzwUOwB8YKX6h7yRfoIs-kUQq1hjpoxgKF7_h5_4xB1Qq0Z5XkTVk7KYq2vvA3ZmQ) |
